Región,Productos seleccionados,Unidad de medida,Período,Precio,Año,Mes,Orden_Periodo
Cuyo,Huevos de gallina,Docena,Año 2017 - Agosto,35.29,2017,Agosto,201708.0
Cuyo,Papa,kg,Año 2017 - Agosto,12.98,2017,Agosto,201708.0
Cuyo,Azúcar,kg,Año 2017 - Agosto,18.29,2017,Agosto,201708.0
Cuyo,Detergente líquido,750 cc,Año 2017 - Agosto,22.15,2017,Agosto,201708.0
Cuyo,Lavandina,1.000 cc,Año 2017 - Agosto,14.59,2017,Agosto,201708.0
Cuyo,Jabón de tocador,125 g,Año 2017 - Agosto,14.78,2017,Agosto,201708.0
Patagonia,Pan francés,kg,Año 2017 - Agosto,38.84,2017,Agosto,201708.0
Patagonia,Harina de trigo común,kg,Año 2017 - Agosto,11.75,2017,Agosto,201708.0
Patagonia,Arroz blanco simple,kg,Año 2017 - Agosto,26.49,2017,Agosto,201708.0
Patagonia,Fideos secos tipo guisero,500 g,Año 2017 - Agosto,21.32,2017,Agosto,201708.0
Patagonia,Carne picada común,kg,Año 2017 - Agosto,92.76,2017,Agosto,201708.0
Patagonia,Pollo entero,kg,Año 2017 - Agosto,43.33,2017,Agosto,201708.0
Patagonia,Aceite de girasol,"1,5 litros",Año 2017 - Agosto,51.17,2017,Agosto,201708.0
Patagonia,Leche fresca entera sachet,Litro,Año 2017 - Agosto,24.53,2017,Agosto,201708.0
Patagonia,Huevos de gallina,Docena,Año 2017 - Agosto,44.34,2017,Agosto,201708.0
Patagonia,Papa,kg,Año 2017 - Agosto,19.55,2017,Agosto,201708.0
Patagonia,Azúcar,kg,Año 2017 - Agosto,21.52,2017,Agosto,201708.0
Patagonia,Detergente líquido,750 cc,Año 2017 - Agosto,35.98,2017,Agosto,201708.0
Patagonia,Lavandina,1.000 cc,Año 2017 - Agosto,16.57,2017,Agosto,201708.0
Patagonia,Jabón de tocador,125 g,Año 2017 - Agosto,15.6,2017,Agosto,201708.0
GBA,Pan francés,kg,Año 2017 - Septiembre,39.71,2017,Septiembre,201709.0
GBA,Harina de trigo común,kg,Año 2017 - Septiembre,10.66,2017,Septiembre,201709.0
GBA,Arroz blanco simple,kg,Año 2017 - Septiembre,21.49,2017,Septiembre,201709.0
GBA,Fideos secos tipo guisero,500 g,Año 2017 - Septiembre,19.86,2017,Septiembre,201709.0
GBA,Carne picada común,kg,Año 2017 - Septiembre,73.28,2017,Septiembre,201709.0
GBA,Pollo entero,kg,Año 2017 - Septiembre,38.57,2017,Septiembre,201709.0
GBA,Aceite de girasol,"1,5 litros",Año 2017 - Septiembre,54.09,2017,Septiembre,201709.0
GBA,Leche fresca entera sachet,Litro,Año 2017 - Septiembre,21.81,2017,Septiembre,201709.0
GBA,Huevos de gallina,Docena,Año 2017 - Septiembre,33.7,2017,Septiembre,201709.0
GBA,Papa,kg,Año 2017 - Septiembre,14.37,2017,Septiembre,201709.0
GBA,Azúcar,kg,Año 2017 - Septiembre,19.78,2017,Septiembre,201709.0
GBA,Detergente líquido,750 cc,Año 2017 - Septiembre,20.08,2017,Septiembre,201709.0
GBA,Lavandina,1.000 cc,Año 2017 - Septiembre,15.96,2017,Septiembre,201709.0
GBA,Jabón de tocador,125 g,Año 2017 - Septiembre,14.51,2017,Septiembre,201709.0
Pampeana,Pan francés,kg,Año 2017 - Septiembre,32.62,2017,Septiembre,201709.0
Pampeana,Harina de trigo común,kg,Año 2017 - Septiembre,11.25,2017,Septiembre,201709.0
Pampeana,Arroz blanco simple,kg,Año 2017 - Septiembre,21.97,2017,Septiembre,201709.0
Pampeana,Fideos secos tipo guisero,500 g,Año 2017 - Septiembre,18.01,2017,Septiembre,201709.0
Pampeana,Carne picada común,kg,Año 2017 - Septiembre,77.31,2017,Septiembre,201709.0
Pampeana,Pollo entero,kg,Año 2017 - Septiembre,40.54,2017,Septiembre,201709.0
Pampeana,Aceite de girasol,"1,5 litros",Año 2017 - Septiembre,55.8,2017,Septiembre,201709.0
Pampeana,Leche fresca entera sachet,Litro,Año 2017 - Septiembre,23.53,2017,Septiembre,201709.0
Pampeana,Huevos de gallina,Docena,Año 2017 - Septiembre,33.11,2017,Septiembre,201709.0
Pampeana,Papa,kg,Año 2017 - Septiembre,14.53,2017,Septiembre,201709.0
Pampeana,Azúcar,kg,Año 2017 - Septiembre,19.45,2017,Septiembre,201709.0
Pampeana,Detergente líquido,750 cc,Año 2017 - Septiembre,22.38,2017,Septiembre,201709.0
Pampeana,Lavandina,1.000 cc,Año 2017 - Septiembre,15.06,2017,Septiembre,201709.0
Pampeana,Jabón de tocador,125 g,Año 2017 - Septiembre,14.82,2017,Septiembre,201709.0
Noreste,Pan francés,kg,Año 2017 - Septiembre,29.4,2017,Septiembre,201709.0
Noreste,Harina de trigo común,kg,Año 2017 - Septiembre,11.06,2017,Septiembre,201709.0
Noreste,Arroz blanco simple,kg,Año 2017 - Septiembre,20.07,2017,Septiembre,201709.0
Noreste,Fideos secos tipo guisero,500 g,Año 2017 - Septiembre,14.7,2017,Septiembre,201709.0
Noreste,Carne picada común,kg,Año 2017 - Septiembre,74.83,2017,Septiembre,201709.0
